Nombre,Últ.,% Dif.,Máx.,Mín.,Volumen,Efectivo (miles €),Fecha,Hora,Capitalización
PHARMA MAR,"96,2600","-0,97","97,7200","95,7000",24.733,"2.389,92",09/04/2021,11:04:05,1.784.097
R.E.C.,"15,1150","-0,89","15,2300","15,0800",173.264,"2.622,86",09/04/2021,11:07:09,8.251.470
REPSOL,"10,1760","-0,29","10,2540","10,1400",867.422,"8.845,72",09/04/2021,11:07:07,16.001.891
SIEMENS GAME,"31,0600","-1,05","31,4700","30,9100",162.632,"5.067,76",09/04/2021,11:07:02,21.381.091
SOLARIA,"17,8250","-4,27","18,6350","17,8200",381.749,"6.910,89",09/04/2021,11:07:03,2.326.585
TELEFONICA,"3,7935","-0,64","3,8400","3,7825",2.011.440,"7.655,57",09/04/2021,11:06:56,21.099.914
VISCOFAN,"59,9500","-0,33","60,2000","59,7000",15.599,"935,75",09/04/2021,11:06:00,2.796.975
ACCIONA,"139,7000","-0,78","141,2000","139,4000",11.258,"1.576,83",09/04/2021,11:22:12,7.723.817
ACERINOX,"11,3800","0,80","11,3900","11,2350",205.441,"2.327,00",09/04/2021,11:23:33,3.054.467
ACS,"27,6400","-0,68","27,9800","27,5800",65.399,"1.814,76",09/04/2021,11:24:02,8.645.796
AENA,"139,8000","-0,07","140,4000","139,3000",47.522,"6.643,86",09/04/2021,11:24:11,20.985.000
ALMIRALL,"12,5000","-0,87","12,6400","12,5000",75.493,"947,53",09/04/2021,11:23:33,2.246.038
AMADEUS,"59,7000","-1,29","60,4200","59,6200",71.498,"4.285,73",09/04/2021,11:24:21,27.246.192
ARCELORMIT.,"24,4300","0,23","24,4550","24,1400",73.707,"1.788,02",09/04/2021,11:24:10,26.880.988
B.SANTANDER,"2,8960","-0,89","2,9410","2,8945",5.127.262,"14.952,01",09/04/2021,11:24:37,50.669.354
BA.SABADELL,"0,4556","-1,11","0,4644","0,4541",9.030.772,"4.128,50",09/04/2021,11:24:38,2.592.343
BANKINTER,"5,8480","-0,48","5,8960","5,8320",270.322,"1.584,21",09/04/2021,11:24:41,5.281.738
BBVA,"4,4625","-1,67","4,5620","4,4560",5.899.767,"26.498,92",09/04/2021,11:24:43,30.262.203
CAIXABANK,"2,5620","-0,66","2,5930","2,5560",1.366.148,"3.511,59",09/04/2021,11:24:22,20.788.409
CELLNEX,"42,0000","0,00","42,3200","41,7200",623.971,"26.212,36",09/04/2021,11:24:43,20.441.764
CIE AUTOMOT.,"21,9200","-2,06","22,3800","21,9000",59.340,"1.305,58",09/04/2021,11:23:25,2.742.669
ENAGAS,"18,5350","-0,64","18,6950","18,4900",161.628,"3.002,47",09/04/2021,11:24:46,4.887.425
ENDESA,"22,8300","-0,57","23,0000","22,7500",86.561,"1.978,75",09/04/2021,11:24:06,24.308.949
FERROVIAL,"22,3400","-0,27","22,4300","22,0700",86.180,"1.920,10",09/04/2021,11:24:11,16.417.013
FLUIDRA,"25,6000","1,99","25,8500","25,1000",154.912,"3.933,42",09/04/2021,11:19:48,4.910.290
GRIFOLS CL.A,"23,3500","-0,17","23,5100","23,1700",122.030,"2.852,47",09/04/2021,11:24:08,9.967.176
IAG,"2,4830","0,00","2,4990","2,4560",2.586.403,"6.417,19",09/04/2021,11:23:34,12.344.175
IBERDROLA,"11,5100","-0,22","11,5900","11,4650",1.326.613,"15.294,74",09/04/2021,11:24:10,74.033.429
INDITEX,"27,6600","-0,90","27,7800","27,5700",322.980,"8.934,03",09/04/2021,11:24:29,86.985.757
INDRA A,"7,4800","0,40","7,5100","7,3950",393.234,"2.930,03",09/04/2021,11:22:40,1.316.075
INM.COLONIAL,"8,2000","-0,67","8,2650","8,1650",50.313,"413,89",09/04/2021,11:23:56,4.194.488
